Time_ms,imu_RTx,imu_LTx,imu_1_left_shaking,imu_2_right_shaking,imu_3_left_foot,imu_4_right_foot,RLTx_delay,torque_delay,tau_raw_L,tau_raw_R,S_torque_command_left,S_torque_command_right,M1_torque_command,M2_torque_command,Rescaling_gain,imu_Rvel,imu_Lvel,imu_vel_1,imu_vel_2,imu_vel_3,imu_vel_4,freq_avg,R_flexion,L_flexion,extra3,R_extension,L_extension
13183,0.1350,0.1509,-97.0000,0.1225,0.1210,0.1359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.3052,0.0000,0.4272,0.3052,0.3662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13193,0.1350,0.1509,-97.0000,0.1225,0.3298,0.1359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.3052,0.0000,0.4272,0.1831,0.3662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13203,0.3382,0.1509,-97.0000,0.3203,0.3353,0.3391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3052,0.0000,0.2441,0.1831,0.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13213,0.3382,0.1509,-97.0000,0.3203,0.3407,0.3446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3052,0.0000,0.3052,0.2441,0.3052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13223,0.3382,0.3871,-97.0000,0.3203,0.3462,0.3446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3052,0.3052,0.3052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13233,0.3437,0.3926,-97.0000,0.3203,0.3462,0.3556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4272,0.1831,0.0000,0.3052,0.3052,0.4272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13243,0.3547,0.3926,-97.0000,0.3312,0.3517,0.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5493,0.1831,0.0000,0.3052,0.3662,0.4272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13253,0.3602,0.4036,-97.0000,0.3367,0.3517,0.3666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4272,0.3052,0.0000,0.2441,0.3662,0.4272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13263,0.3657,0.4036,-97.0000,0.3367,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.3052,0.0000,0.1221,0.2441,0.3662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13273,0.3657,0.4036,-97.0000,0.3367,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.3052,0.0000,0.1221,0.1831,0.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13283,0.3657,0.4091,-97.0000,0.3367,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.1831,0.0000,0.0610,0.0610,0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13293,0.3657,0.4091,-97.0000,0.3367,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0610,0.1831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13303,0.3602,0.4091,-97.0000,0.3367,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0610,0.1831,0.0000,0.0610,0.0000,-0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13313,0.3602,0.4091,-97.0000,0.3367,0.3682,0.3666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4883,0.0000,0.1221,-0.0610,-0.1831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13323,0.3602,0.4091,-97.0000,0.3422,0.3682,0.3666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2441,-0.4883,0.0000,0.1221,-0.0610,-0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13333,0.3602,0.4091,-97.0000,0.3422,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2441,-0.3662,0.0000,0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13343,0.3657,0.4146,-97.0000,0.3422,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,-0.0610,0.0000,0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13353,0.3712,0.4201,-97.0000,0.3422,0.3737,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,-0.2441,0.0000,-0.0610,0.0000,0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13363,0.3712,0.4201,-97.0000,0.3422,0.3737,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,-0.4272,0.0000,-0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13373,0.3712,0.4201,-97.0000,0.3422,0.3737,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4272,-0.4272,0.0000,-0.0610,0.0000,-0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13383,0.3657,0.4146,-97.0000,0.3367,0.3737,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5493,-0.6104,0.0000,-0.1221,-0.0610,-0.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13393,0.3602,0.4146,-97.0000,0.3367,0.3682,0.3666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3662,-0.6104,0.0000,-0.1221,-0.1831,-0.3052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13403,0.3602,0.4091,-97.0000,0.3367,0.3627,0.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6104,0.0000,0.0000,-0.3052,-0.3052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13413,0.3602,0.4091,-97.0000,0.3422,0.3627,0.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,-0.5493,0.0000,0.0610,-0.3052,-0.3052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13423,0.3602,0.4091,-97.0000,0.3422,0.3572,0.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,-0.3052,0.0000,0.1831,-0.1221,-0.1831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13433,0.3657,0.4091,-97.0000,0.3422,0.3627,0.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4272,-0.3052,0.0000,0.1831,0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13443,0.3822,0.4146,-97.0000,0.3477,0.3627,0.3666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4272,-0.1831,0.0000,0.2441,0.0610,0.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13453,0.3877,0.4201,-97.0000,0.3587,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3052,-0.0610,0.0000,0.3662,0.3052,0.4883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13463,0.3932,0.4256,-97.0000,0.3642,0.3737,0.3830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.1831,0.0000,0.3662,0.4883,0.5493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13473,0.3932,0.4365,-97.0000,0.3642,0.3847,0.3885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1831,0.0610,0.0000,0.3052,0.4883,0.5493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13483,0.4042,0.4365,-97.0000,0.3697,0.3847,0.3885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1221,-0.0610,0.0000,0.3052,0.2441,0.5493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13493,0.4042,0.4365,-97.0000,0.3697,0.3847,0.3885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,-0.1221,0.0000,0.3052,0.0610,0.3662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13503,0.4042,0.4365,-97.0000,0.3697,0.3847,0.3885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0610,-0.1221,0.0000,0.1221,-0.0610,-0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13513,0.4042,0.4311,-97.0000,0.3697,0.3847,0.3830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0610,-0.1221,0.0000,0.0000,-0.0610,-0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13523,0.4042,0.4311,-97.0000,0.3697,0.3792,0.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1831,0.0000,0.0000,-0.2441,-0.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13533,0.4042,0.4256,-97.0000,0.3697,0.3682,0.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1221,-0.3052,0.0000,-0.0610,-0.3052,-0.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13543,0.4042,0.4256,-97.0000,0.3697,0.3682,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2441,-0.3662,0.0000,-0.1831,-0.2441,-0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13553,0.3987,0.4256,-97.0000,0.3642,0.3627,0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4272,-0.4883,0.0000,-0.1831,-0.1831,-0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
